1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,singer,song
-0.679403,1.3445883,0.50460553,0.53049326,-0.95282185,-0.48683852,-0.08635667,1.2628831,-0.3492518,0.017131763,0.08436426,-0.33408058,-0.26358023,0.1466391,0.84022635,0.44251204,0.38565317,-0.633286,-0.49080586,0.7784172,0.05581572,1.3133125,0.011199296,-0.7194405,-0.17385261,0.5374182,-0.016984498,-0.55153346,0.06532988,0.39499584,-0.10348655,-1.1544693,-0.13396814,-0.4749898,0.42428836,-0.20572022,0.06273446,0.6314748,0.54141957,-0.4847024,1.0773839,-0.11204239,0.11930719,-0.6149015,0.6335704,0.065416105,-0.25384465,0.29840267,0.9668046,-0.42986268,702,where my girls at
0.025641805,0.093596436,0.06491289,-0.40392575,0.3739633,-0.21498463,-0.44768193,0.27129212,-0.95243305,-0.65588474,1.2228754,0.17568903,-0.8942246,0.08629618,0.2256633,0.86935145,-0.8107895,-0.3063111,-0.1326894,0.2361421,-0.41132137,-0.011691872,0.5014563,-0.25156155,0.19442411,0.55715096,1.4835751,0.066807315,-0.28297317,0.71028423,0.38744518,0.25776345,-0.48247653,-0.80980814,0.09501891,0.8842382,0.7540303,0.8189258,0.44789782,-0.26908553,1.4697335,-0.53629136,0.35737106,-0.7494042,0.12817168,0.87821364,0.30233714,-0.40315083,-0.17811035,-0.0027518119,911,the day we find love
0.585622,0.3475412,-0.015938517,0.0132904155,0.19675195,-0.32380807,-0.08513445,0.8632419,-1.0655057,-0.29583606,0.31725562,-0.3180552,-0.57020056,0.3700501,0.17198233,0.43665096,0.049013797,0.82176405,-0.06568348,-0.2174843,1.0883939,0.29240128,0.30231735,-0.3152758,-0.58432263,0.6266707,0.41259447,0.16538815,-0.35345578,1.3857902,-0.18196231,0.30620036,-0.86328894,-0.10005723,0.043693967,0.48828122,-0.0023273795,1.7492696,0.38524333,-0.40465906,0.1909971,-0.65662134,-0.19489895,-0.6171043,1.276833,-0.054180104,-0.62302625,-0.10595193,0.14016075,0.08947461,98 degrees,i do cherish you
-0.5630348,-0.45540407,0.041021854,0.11311508,-0.7550941,-0.303096,0.18818189,0.6989063,-1.2947004,-0.0152911795,-0.2759814,-0.298213,-0.5282727,0.36170864,0.73884135,-0.40295675,0.3957719,0.08801214,0.31230333,0.22935022,-0.30217615,0.274151,1.3875926,0.015016646,-0.64566404,0.06628044,0.18066825,-0.8581185,-0.04847204,0.10623882,-0.62680614,0.41122353,-0.16067831,-0.40130222,0.9993879,0.8710439,0.23133726,0.7969814,0.49244994,-0.14897859,0.5364859,-0.16167845,-0.36936334,0.15866251,1.056877,0.54699975,0.4267921,0.14941429,1.3305777,-0.07050601,98 degrees,the hardest thing
0.63502216,0.49232024,-0.5273278,-0.79373556,-0.50260526,-0.13644412,-0.031992033,0.4808144,-0.5557021,-0.7518526,0.21906596,0.64432156,-0.37903953,-0.127442,0.29865292,0.32038996,-0.0387857,0.0057702158,-0.5314959,0.334935,-0.20337495,0.565432,0.51450396,-0.9735328,-1.2482454,-0.1426859,0.9735538,-0.13294889,0.25696084,-0.34001574,0.17293373,-0.06431922,-0.14928676,-0.14546941,-0.684758,-0.14570689,-0.22132029,1.367303,-0.0024093532,-0.6875838,1.0409358,-0.13494556,0.46529636,-1.0640897,0.3866913,-0.0065292977,0.62574977,-0.5519348,0.5505747,-1.0957233,aaliyah,are you that somebody
0.38118392,-0.17843623,0.38581946,-0.7863531,-1.5317929,-1.1643527,-0.26887155,-0.0076621133,-0.2758617,0.007176177,-0.5967661,-0.1870146,-0.38567826,-0.19467804,-0.30451825,0.43995243,-0.3624027,0.35619932,-0.16898967,0.04971488,0.0026192835,-0.19687615,0.8985168,-0.11668327,0.85073125,0.44808793,0.13062969,-0.33644226,-0.06454469,1.1781149,-0.54763323,-1.3291042,0.3010448,0.14689109,0.5926891,-0.22274426,0.40575147,0.7980294,-0.6635322,-0.28391343,0.44642162,-0.015000848,-0.38129577,-0.68739563,0.9431737,0.20235404,0.4244059,-0.9033011,0.9750362,0.4181134,aaliyah,try again
-0.27338767,0.38155448,-0.6622568,-0.15845613,0.6570744,-0.32057977,-0.20347975,0.6822213,-0.6235978,0.3959543,0.60083383,0.58316666,0.67742157,-0.13942812,-0.8038292,0.08850765,-0.040422805,0.8061699,-0.3611798,-0.354999,0.7536362,-0.85201997,1.1484189,-0.28699005,-0.39871046,0.47175542,0.28274813,0.19164522,-0.28019702,-0.36862785,0.20078169,-0.6100742,-0.20636958,-0.22258371,1.3118178,1.1108834,0.8648182,0.51840085,0.81242853,-0.23114824,-0.1267571,-0.97960794,0.52479374,-0.35267666,0.5354221,0.94864756,0.467095,-0.1060124,1.8448198,0.5632998,aaron neville,tell it like it is
0.09842194,-0.29329136,0.41260108,-0.4360089,-0.7702947,-0.027074307,-0.9188068,0.719553,0.84821105,-0.44512424,0.5594135,0.024316316,0.22763534,0.4445608,-0.5081845,0.7078261,-0.15688916,-1.3857213,0.41456708,-0.7920919,-0.10795632,-0.8379859,1.5537645,-0.28570735,0.20141698,0.6662973,0.72082156,-0.40116698,-0.34907642,0.8498621,-0.31185868,-0.46550402,-0.22055359,-0.6387772,-0.29132855,-0.19916184,0.40590256,0.47950533,-0.65730923,-0.07625128,0.75008345,-0.17260334,0.35619286,-0.62113297,0.49721244,0.63082457,1.3853173,-0.025575096,0.5162648,0.32648468,abba,dancing queen
0.03290973,0.043937866,1.0874075,-0.11674209,-0.38192847,-0.5698704,0.32025644,0.44738674,0.07632283,-0.019193644,-0.8515716,-0.5471012,-0.956022,0.7962533,-0.55277187,1.2991612,-0.6186324,-0.7911956,-0.3277672,-0.4066741,-0.5370245,-0.34570345,0.9574962,-0.5952926,-0.63622063,0.2546658,-0.11247805,0.3909255,-0.64754355,-0.2697367,0.34725982,-0.6163333,0.4639126,-0.08142538,-0.69896865,0.30044106,-0.9789055,1.1174531,0.6716313,0.3835012,0.589461,-0.30824292,-0.26443994,-0.19969396,-0.29077032,0.7435558,0.6512918,0.3946059,0.5150152,0.26912883,abba,fernando
-0.9857311,0.06635499,-0.762379,-0.12268312,-0.08666176,-1.112329,-0.15343802,0.6038093,-0.3649844,-0.5711906,-0.34205672,-0.13059883,0.01606998,-0.04052277,-0.07783227,0.7310678,-0.765654,0.15307881,-0.44762552,-0.5774523,0.8718279,0.4661117,0.3531415,-0.5304923,-0.74318326,0.32992518,1.004414,0.7603747,0.37170708,0.19727835,0.10915605,0.27001724,0.5890452,-1.0181996,-0.5955548,0.13262427,-0.3156872,-0.23605603,0.44187346,-0.73681736,0.27186048,-0.14975977,0.67828846,-1.0663525,1.2294688,0.83124477,-0.038021196,-0.47073606,0.6259942,0.34368196,abba,gimme gimme gimme
-0.6710042,0.94381994,0.15028735,-0.54207397,0.50471866,-0.52593553,0.8560674,1.011109,-0.56052303,-0.9936831,0.3191059,0.19994612,0.40050697,-0.34953663,-0.3473845,1.26256,0.30632535,-1.3101931,0.41018292,-0.34544888,-0.49589935,0.35006857,1.3236569,-0.2232496,-0.9758611,0.45438796,0.37833905,0.5566728,-0.06933106,0.6996568,0.054546393,-0.2702723,0.49278417,0.41112497,0.16497058,-0.97712797,-0.25575915,1.0233749,-0.3732645,-0.5774268,0.38164544,-0.23540163,0.83492845,0.061162915,0.6778291,1.0167158,0.15276177,0.6724065,-0.18081239,0.673124,abba,knowing me knowing you
-0.06775734,0.31266767,-0.61242604,-0.20343581,-0.82140243,-0.44749147,-0.087442055,-0.23592305,0.35740045,-0.7271481,1.0357522,-0.32506442,-0.20185505,0.27720872,-0.4227926,-0.391621,-0.36185613,-0.79023004,-0.32224068,-0.13305104,0.77055305,-0.5296203,1.5194203,0.18161869,-0.025120959,0.3402893,0.10329192,-0.7202662,0.0085961595,0.21724172,-0.15057787,-0.3470872,-0.42392197,-0.482218,0.6388328,-0.30946195,-0.29175878,1.2676233,0.105092965,0.6051256,0.49020317,-0.72226715,0.08758715,-1.2380981,1.4151095,0.9978342,0.4452344,0.007751719,0.15182489,-0.10662314,abba,money money money
